index Rot.err.(deg/100m) Trans.err.(%) length speed
0 0.00021086709904231526 0.01176584449447102 100 16.666666666666668
0 8.277954771401851e-05 0.021183212225684 200 19.23076923076923
0 8.374464466408198e-05 0.023385946263212762 300 20.27027027027027
0 6.187382391992375e-05 0.024108056285549413 400 21.27659574468085
0 7.583930301912505e-05 0.022686756630832715 500 20.24291497975708
0 4.9942430252284826e-05 0.01994293728010618 600 21.27659574468085
0 4.231170604861768e-05 0.017607981687824577 700 22.22222222222222
0 5.171333483944373e-05 0.017212136656169573 800 22.988505747126435
10 0.0001700224253074219 0.00981615414929835 100 18.181818181818183
10 9.093289585219968e-05 0.016631141564336274 200 20.408163265306122
10 5.9211380304763294e-05 0.019724607549015463 300 21.12676056338028
10 5.54226330592151e-05 0.02080075997512668 400 21.85792349726776
10 6.624238454771635e-05 0.018099049190367027 500 20.661157024793386
10 3.5908018850062023e-05 0.015634377787977594 600 21.818181818181817
10 5.275504422111133e-05 0.013782198705049433 700 22.727272727272727
10 3.6011410262462164e-05 0.013673204805975026 800 23.391812865497073
20 0.00013051878911686765 0.015431053262148582 100 19.23076923076923
20 0.00015236075607036009 0.016459843591360185 200 21.27659574468085
20 7.379634272192511e-05 0.021259242026070765 300 21.73913043478261
20 1.4608337482832504e-05 0.02303772773286182 400 22.22222222222222
20 3.550075067813391e-05 0.016822744111134203 500 21.097046413502106
20 4.231941777740949e-05 0.013869000060847786 600 22.22222222222222
20 3.4413380010651375e-05 0.011696756351863643 700 23.1023102310231
20 2.7208282421265242e-05 0.011490221149692764 800 23.80952380952381
30 0.0002940085290324097 0.02039932918067752 100 20.0
30 9.294295890808121e-05 0.022814367231813733 200 21.739130434782606
30 8.340077249091682e-05 0.028168382983426703 300 22.22222222222222
30 0.00014264135935368206 0.027404163467591686 400 21.62162162162162
30 5.857951702451559e-05 0.02191241767662714 500 21.459227467811157
30 4.5978601397445494e-05 0.018516103526611438 600 22.55639097744361
30 4.081439794502348e-05 0.015775769472934825 700 23.41137123745819
30 4.6116023365371646e-05 0.015228606975409424 800 24.096385542168672
40 7.94624859127885e-05 0.018270596414373726 100 20.408163265306122
40 0.00010404032292353165 0.02263334239048851 200 21.978021978021978
40 6.158934581508509e-05 0.023958383290837482 300 22.55639097744361
40 5.476629696598466e-05 0.0221083568403972 400 21.05263157894737
40 2.7638544331215737e-05 0.017428095395116302 500 21.73913043478261
40 6.469011090106163e-05 0.013971389320176287 600 22.900763358778622
40 4.966329063005542e-05 0.01234724491001179 700 23.64864864864865
40 1.6122258204150683e-05 0.01224733719899574 800 24.39024390243902
50 0.0001036302352699847 0.01959803471648068 100 21.27659574468085
50 0.00015166430046776035 0.023811636744418028 200 21.978021978021978
50 1.5842354838544186e-05 0.023191050177566345 300 22.900763358778622
50 5.5745898275571794e-05 0.019913324943884852 400 21.05263157894737
50 3.082544353234518e-05 0.0160018045071996 500 22.026431718061673
50 5.1351214805612794e-05 0.01297913590582553 600 23.166023166023162
50 4.856531037050879e-05 0.012268543526944009 700 23.890784982935152
50 1.3435979944687817e-05 0.01261327715744192 800 24.691358024691358
60 0.0002023838692529128 0.023470892741791913 100 22.22222222222222
60 7.281701580197117e-05 0.024754972278761916 200 22.47191011235955
60 6.823810277803884e-05 0.024673196168173712 300 23.076923076923077
60 4.59139507991356e-05 0.019578971293548696 400 21.16402116402116
60 4.2333644748110346e-05 0.015397806222371833 500 22.42152466367713
60 2.604470335484437e-05 0.01246755052429537 600 23.4375
60 3.116685506671173e-05 0.01191056943142836 700 24.22145328719723
60 1.6120971062878506e-05 0.01268636644719233 800 24.922118380062305
70 0.00019789878288406826 0.024755562037925335 100 22.727272727272727
70 0.00013589601818335571 0.024900187281074633 200 22.727272727272727
70 5.602511644023018e-05 0.024643981178351235 300 23.076923076923077
70 3.455000868336944e-05 0.017483227011554133 400 21.390374331550802
70 4.302077442969013e-05 0.013965027178968442 500 22.727272727272727
70 2.6803020020609418e-05 0.011621545055480098 600 23.715415019762844
70 2.0383288086782014e-05 0.011842283430179096 700 24.475524475524473
70 1.9040599675922482e-05 0.01267098857427141 800 25.236593059936908
80 0.00015980724685280522 0.026682454623258724 100 22.727272727272727
80 0.00012711584443670325 0.0248010017565673 200 23.255813953488374
80 7.055526079423284e-05 0.023158784166267554 300 21.73913043478261
80 5.125444858892096e-05 0.017056575554204506 400 21.62162162162162
80 4.9730746707930914e-05 0.013851700710010103 500 23.041474654377875
