index Rot.err.(deg/100m) Trans.err.(%) length speed
0 0.00012178023032708025 0.003694189922443789 100 18.181818181818183
0 0.00018069618557736277 0.0048377765472279 200 20.2020202020202
0 8.120987112476125e-05 0.005970698625818524 300 20.979020979020977
0 7.006423204511263e-05 0.00294989357144594 400 19.704433497536947
0 0.0001300541104738276 0.004259367592238356 500 17.54385964912281
0 5.845808053693761e-05 0.0060115075319908205 600 18.12688821752266
0 2.9841322541954084e-05 0.008041070590402807 700 18.617021276595743
0 3.102118498421604e-05 0.010242796876913414 800 19.323671497584538
10 0.00015949029092745013 0.006191441107037491 100 20.0
10 3.580399122112421e-05 0.006292038875499773 200 21.27659574468085
10 4.208935759742317e-05 0.0054500983004130265 300 21.428571428571427
10 9.015197520695215e-05 0.00616102098068587 400 20.100502512562812
10 0.00010898093555322396 0.008602309191181087 500 17.730496453900706
10 9.359266427988339e-05 0.008728754855118028 600 18.46153846153846
10 6.643567389498898e-05 0.010275783386113832 700 18.91891891891892
10 3.8016089065097125e-05 0.012747263533324997 800 19.6078431372549
20 0.000587854469808328 0.0031865642014651213 100 20.83333333333333
20 5.1794651924455025e-05 0.003218454090958538 200 21.978021978021978
20 0.00016648418547962675 0.0077399239536679034 300 20.833333333333332
20 6.568932059066112e-05 0.008649348601741706 400 20.100502512562812
20 7.300239451788825e-05 0.00910766378646217 500 17.857142857142858
20 5.7820221082465566e-05 0.00926755950725582 600 18.633540372670804
20 3.267060797926002e-05 0.010697876666082953 700 19.07356948228883
20 3.001822693582901e-05 0.012279764092355283 800 19.851116625310173
30 0.0 0.005540145046592107 100 21.27659574468085
30 5.313401545154508e-05 0.004921612984524456 200 22.22222222222222
30 9.14805731803017e-05 0.006092073249475773 300 20.27027027027027
30 0.00011054220129976219 0.009249389127506592 400 19.8019801980198
30 7.374338628330886e-05 0.008638386528921085 500 17.857142857142858
30 5.256456583928321e-05 0.008843727797325937 600 18.69158878504673
30 4.203128623248077e-05 0.010255667720352616 700 19.17808219178082
30 5.003167452304709e-05 0.012075725044965714 800 19.851116625310173
40 0.00019419711445763335 0.013352603485665996 100 21.739130434782606
40 0.0001219495808773964 0.013940639893916695 200 22.47191011235955
40 0.00017212468033764923 0.007400424908967772 300 20.13422818791946
40 0.00019969270348446272 0.004661580710474017 400 18.099547511312217
40 9.067206569666686e-05 0.005072974496199664 500 17.985611510791365
40 6.785827131173466e-05 0.008586701123665462 600 18.69158878504673
40 5.357858773010107e-05 0.011755134542081857 700 19.283746556473826
40 7.536052616891131e-05 0.013882711939430598 800 19.851116625310173
50 0.00016104241083945362 0.012716366583286476 100 22.22222222222222
50 0.00020484486872327263 0.012727051051440157 200 22.727272727272727
50 9.82629370904038e-05 0.006494778010764971 300 20.27027027027027
50 0.00016356241439112102 0.0038180302285091964 400 17.391304347826086
50 8.083681401131e-05 0.005513269653831472 500 18.050541516245485
50 3.431254476838345e-05 0.008134064197081264 600 18.633540372670804
50 3.887988818800939e-05 0.01090157775327422 700 19.39058171745152
50 1.9542201892316555e-05 0.011695926716912568 800 19.753086419753085
60 0.00017672285641853205 0.005949102137049292 100 22.22222222222222
60 6.0385796249790134e-05 0.009303332126979922 200 21.739130434782606
60 0.00012342124600322327 0.008399517208315383 300 19.86754966887417
60 6.486965092354468e-05 0.007453261369355215 400 17.167381974248926
60 8.637858502824572e-05 0.007320698911485365 500 18.115942028985508
60 5.724676717459682e-05 0.00806998339844322 600 18.633540372670804
60 2.3700963644206535e-05 0.009284174838437366 700 19.498607242339833
60 1.9287830865904486e-05 0.008757196116386185 800 19.753086419753085
70 0.0002537085746743077 0.015792474666660273 100 22.22222222222222
70 0.0001383081527347523 0.017234580146156746 200 20.0
70 0.00011354431382401 0.01679099237820413 300 19.48051948051948
70 0.00010787869216126561 0.012940058629523197 400 17.094017094017094
70 7.077426221522964e-05 0.010197687957158596 500 18.181818181818183
70 8.065240683733254e-05 0.01019921724967478 600 18.75
70 4.079368995844826e-05 0.011624059259100502 700 19.6078431372549
70 3.741516580634212e-05 0.009400643937928882 800 19.8019801980198
80 0.00014333221658785315 0.008599954776251667 100 22.727272727272727
80 0.00018597710900530696 0.00804506659091201 200 19.41747572815534
80 0.0002041281424385981 0.011188220578250271 300 18.51851851851852
80 0.00012517405853862052 0.010419004363636604 400 17.094017094017094
80 5.473177178726064e-05 0.012084073004148108 500 18.181818181818183
80 5.601553521734646e-05 0.01440041056265538 600 18.808777429467085
80 8.256261627668437e-05 0.01621135752495774 700 19.6078431372549
80 5.639683649895979e-05 0.014494889000072196 800 19.90049751243781
90 0.00018217618239930975 0.00999117159700098 100 22.727272727272727
90 0.00017983745120498979 0.006536360922948325 200 19.23076923076923
90 0.000296832595509105 0.012436771755485698 300 16.39344262295082
90 0.00011784274873315493 0.013053356014544142 400 17.094017094017094
90 6.47193792494483e-05 0.015294263556334094 500 17.985611510791365
90 6.972855928877161e-05 0.018123855982038483 600 18.92744479495268
90 6.41968799855543e-05 0.01958019034310802 700 19.444444444444443
90 5.765370209414654e-05 0.017208028097692 800 19.950124688279303
100 0.00015337478570445052 0.015519421181084934 100 21.739130434782606
100 0.00022552983239526234 0.017462535035998487 200 18.867924528301884
100 0.0001970871077199215 0.016130768044448563 300 15.873015873015872
100 0.000141387261527116 0.012155113409179996 400 17.167381974248926
100 8.931480616284868e-05 0.012534542542368118 500 17.985611510791365
100 5.639835315109898e-05 0.015136551843300221 600 18.987341772151897
100 5.0128719212939934e-05 0.01459652876994833 700 19.39058171745152
100 3.1730390395185454e-05 0.011729687412154436 800 19.851116625310173
110 0.00046944972826818635 0.010917805593608691 100 18.181818181818183
110 0.00015548571670564678 0.01391175783076404 200 18.34862385321101
110 0.0001310573645373908 0.014527644661470586 300 15.706806282722512
110 9.277722270020566e-05 0.014594179783036197 400 17.241379310344826
110 5.851250801587204e-05 0.016776626537032793 500 18.050541516245485
110 7.398580436837433e-05 0.019300936970239903 600 19.108280254777068
110 3.580657748082001e-05 0.018053302770781803 700 19.39058171745152
110 7.334118823064524e-05 0.015537415979618304 800 19.51219512195122
120 0.0003068763063946625 0.011158753165069915 100 16.666666666666668
120 0.00019147032393257264 0.015781066671260124 200 17.391304347826086
120 0.00015190731070564687 0.015059798615177703 300 15.706806282722512
120 7.97683886435144e-05 0.016493023470311535 400 17.241379310344826
120 5.944350781819157e-05 0.018963696706939204 500 18.115942028985508
120 8.6970323993844e-05 0.021324498455060098 600 19.108280254777068
120 5.0831055642236913e-05 0.019155328342326285 700 19.444444444444443
120 3.066665881611182e-05 0.018280586304873718 800 19.047619047619047
130 0.0006073577939386047 0.025698272333722464 100 16.129032258064516
130 0.0004634624970689255 0.028701026882398686 200 14.492753623188404
130 0.000197697416157046 0.019219159259034668 300 15.706806282722512
130 0.00015682521603219122 0.01830875259666793 400 17.02127659574468
130 0.00012480020547567345 0.020997146584337722 500 18.181818181818183
130 9.327808713526525e-05 0.022523894111244388 600 18.92744479495268
130 7.958788860258383e-05 0.017785117993969417 700 19.498607242339833
130 5.125080812709887e-05 0.017124506801026736 800 18.912529550827422
140 0.0004435601816296157 0.023510764379685453 100 16.39344262295082
140 0.00040503439346484905 0.026688448884113286 200 13.88888888888889
140 0.00016814840783497422 0.02499233344899069 300 15.789473684210526
140 9.386518477839278e-05 0.02678796396435579 400 17.02127659574468
140 9.248175273245984e-05 0.029820717704512344 500 18.315018315018314
140 5.888897841633591e-05 0.029751958880174983 600 18.867924528301888
140 6.918881068133067e-05 0.026159912318549625 700 19.55307262569832
140 4.632866200246011e-05 0.026547640574482376 800 18.95734597156398
150 0.00046296710751696565 0.026063150748746565 100 16.39344262295082
150 0.00012645828158151226 0.015168290190534322 200 13.986013986013985
150 0.00015571087144387776 0.010755056641845288 300 16.129032258064516
150 0.00011405099458286341 0.010014544737976902 400 17.316017316017316
150 3.951989802293619e-05 0.007958614437753107 500 18.587360594795538
150 2.9346924436155964e-05 0.006718542812198125 600 19.047619047619047
150 4.828558990464977e-05 0.005359344290929866 700 19.55307262569832
150 2.3462968071363933e-05 0.005237660002729051 800 19.13875598086124
160 0.0007465200783796169 0.07703355940289852 100 17.543859649122805
160 0.0003718909428406025 0.06358016064044843 200 14.388489208633093
160 0.0002500979591369933 0.055378938839121476 300 16.574585635359114
160 0.00015892406789246174 0.0547518992628813 400 17.699115044247787
160 0.0001079493992198243 0.052249784642875295 500 19.083969465648853
160 0.00011638781093896626 0.05105090460845109 600 19.35483870967742
160 0.00011616355553065706 0.05001584599095678 700 19.662921348314605
160 7.735903240652473e-05 0.04869923202242269 800 19.37046004842615
170 0.0001821560143645597 0.018710154748641513 100 18.181818181818183
170 4.8434497243713405e-05 0.011842184175170347 200 14.814814814814815
170 4.413267927827196e-05 0.010222014098857115 300 17.045454545454543
170 4.998199356133963e-05 0.012448024479428645 400 18.099547511312217
170 8.776254700578828e-05 0.015498578290395294 500 19.37984496124031
170 2.3164125017437893e-05 0.012922659572736864 600 19.672131147540984
170 7.899029110933766e-05 0.011217695041820788 700 19.498607242339833
170 2.346807498109067e-05 0.011657349462642155 800 19.6078431372549
180 0.0003667865695007496 0.011203254559636572 100 17.241379310344826
180 0.00011127454112077733 0.009204381769390672 200 15.15151515151515
180 3.229546045125402e-05 0.013085107665611839 300 17.341040462427745
180 5.81877266444671e-05 0.014649160305689768 400 18.433179723502302
180 0.00010028664313994081 0.015559683572212844 500 19.53125
180 4.210741776641549e-05 0.014506753260097606 600 19.933554817275745
180 1.8615075451518938e-05 0.014648687171364553 700 19.337016574585633
180 2.9564538508669392e-05 0.013628477107852633 800 19.753086419753085
190 0.0005011473234187327 0.011672631474648055 100 12.82051282051282
190 0.00020925971853313162 0.0187932369798577 200 15.267175572519083
