index Rot.err.(deg/100m) Trans.err.(%) length speed
0 4.219885638987542e-05 0.015209083636700966 100 5.376344086021505
0 1.0981585165317078e-05 0.018647482059610702 200 8.0
0 5.002519717474895e-06 0.021214526490031596 300 9.868421052631579
0 2.5126938403453393e-05 0.01668614007906117 400 11.428571428571429
0 1.5393630318242215e-05 0.016558841911667673 500 12.077294685990337
0 8.527987337928776e-06 0.009490554361890032 600 10.638297872340425
0 1.6482654420261693e-05 0.0073025925025568955 700 11.494252873563218
0 1.7527722300298887e-05 0.0053672812840137515 800 12.345679012345679
10 3.790018683707771e-05 0.01564943327478079 100 5.681818181818182
10 9.00089951160258e-06 0.018917332714348523 200 8.333333333333334
10 4.076477869435499e-06 0.02147202752358044 300 10.204081632653061
10 2.4083627399392753e-05 0.016969972950332847 400 11.764705882352942
10 1.4558736119436533e-05 0.016761424117212074 500 12.376237623762375
10 7.821836288988477e-06 0.009638007592493515 600 10.830324909747292
10 1.5889654455786906e-05 0.0074241127933701535 700 11.686143572621035
10 1.7009845348369636e-05 0.005470276193349587 800 12.539184952978056
20 4.101824264095041e-05 0.01539447459111307 100 6.024096385542168
20 1.0457924997239088e-05 0.018741722184442082 200 8.695652173913043
20 4.76117842729439e-06 0.02130044592997823 300 10.56338028169014
20 2.483285496731152e-05 0.01677799788624891 400 12.121212121212121
20 1.515956351534545e-05 0.016622313296241302 500 12.690355329949236
20 8.332430073257727e-06 0.009536565543975627 600 11.02941176470588
20 1.6315114568416358e-05 0.007340967889407098 700 11.884550084889643
20 1.738101232205918e-05 0.0054000427286966975 800 12.738853503184712
30 3.911694136518008e-05 0.015374835547778291 100 6.41025641025641
30 9.568961719254916e-06 0.01878439641984238 200 9.090909090909092
30 4.331590111301211e-06 0.021360105594525957 300 10.94890510948905
30 2.4374937027091424e-05 0.01685805179144787 400 12.5
30 1.4792453828916221e-05 0.016683332124460527 500 13.020833333333332
30 8.020777344411867e-06 0.009580366195990023 600 11.235955056179774
30 1.6055035274761964e-05 0.007376076114419167 700 12.089810017271155
30 1.7154089991215064e-05 0.005429318178505166 800 12.944983818770226
40 3.850235738269476e-05 0.015688154469925667 100 6.84931506849315
40 9.268636482627948e-06 0.018897094865747425 200 9.523809523809524
40 4.181649641160084e-06 0.02144972604778727 300 11.363636363636363
40 2.4230888714895044e-05 0.016944324614039108 400 12.903225806451612
40 1.467631162991738e-05 0.016737316302758605 500 13.368983957219251
40 7.920904040641564e-06 0.009619128073355404 600 11.450381679389311
40 1.597341771240464e-05 0.007408962840438124 700 12.302284710017574
40 1.7083077880192626e-05 0.0054575283281205825 800 13.157894736842104
50 4.142565668045948e-05 0.015343307289636168 100 7.352941176470588
50 1.0639853933346456e-05 0.018742049682413327 200 10.0
50 4.845040887832589e-06 0.02129109287156486 300 11.811023622047243
50 2.4933786516158788e-05 0.016758640247393174 400 13.333333333333334
50 1.5239990781920084e-05 0.01661510887964815 500 13.736263736263737
50 8.399799455314923e-06 0.009534090101617942 600 11.673151750972762
50 1.6372586014360205e-05 0.007339054933302124 700 12.522361359570661
50 1.7431308482613893e-05 0.005398641757197711 800 13.37792642140468
60 4.574486736946148e-05 0.014859048076559299 100 7.936507936507936
60 1.2510062091947278e-05 0.018432306991308493 200 10.526315789473685
60 5.7164914930663775e-06 0.02100210138282352 300 12.295081967213113
60 2.6035072670987707e-05 0.016446462423468554 400 13.793103448275861
60 1.6112053407603685e-05 0.01639043415260992 500 14.124293785310735
60 9.120346002284115e-06 0.009368952653284928 600 11.904761904761903
60 1.7001433788938156e-05 0.007201006055341245 700 12.750455373406192
60 1.7983450606429415e-05 0.005280330847610311 800 13.605442176870747
70 4.1751045901198424e-05 0.015986720173661283 100 8.547008547008547
70 9.03616353458886e-06 0.018819374826950633 200 11.11111111111111
