z min,min distance,max distance,k strongest,topic_filtered,radar_frameid,dataset,input_points_topic,scan_registered_latest_topic,scan_registered_keyframe_topic,odom_latest_topic,odom_keyframe_topic,use raw pointcloud,submap keyframes,resolution r,resample factor f,min. sensor distance [m],min. sensor rot. [deg],use keyframe,use initial guess,radar reversed,disable registration,soft velocity constraint,compensate,cost type,todom_est_topic,gt_topic,est_output_dir,gt_output_dir,sequence,job nr,nr_frames,Filtered points avg,Filtered points dev [σ],Filtered points count,Surface points avg,Surface points dev [σ],Surface points count,Registration avg,Registration dev [σ],Registration count,Filtering avg,Filtering dev [σ],Filtering count,Trans.err. [%],Rot.err. [deg/100m],ATE [m],RPE [m],RPE-dev [m],RPE [deg],RPE-dev [deg],bias-x [m],bias-y [m],bias-theta [deg]
 40, 2.5, 130, 50, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 5, 2.75, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_575/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_575/gt/, 2019-01-18-14-14-42-radar-oxford-10k, 575, 7402, 18602.734198, 1532755.954471, 7404, 416.876418, 11716.576435, 7404, 55.722461, 662.569414, 7404, 29.823352, 69.754409, 7404,1.293,0.401,22.37,0.059,0.05,0.058,0.059,-0.018,0.001,0.001
 40, 2.5, 130, 50, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 4, 2.5, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_503/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_503/gt/, 2019-01-18-14-14-42-radar-oxford-10k, 503, 7402, 18602.734198, 1532755.954471, 7404, 451.277012, 13385.784825, 7404, 52.708389, 554.776883, 7404, 30.166072, 66.861058, 7404,1.314,0.423,20.853,0.058,0.047,0.058,0.058,-0.017,0.001,0.002
 40, 2.5, 130, 20, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 5, 3.5, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1184/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1184/gt/, 2019-01-18-15-20-12-radar-oxford-10k, 1184, 8281, 7968.239406, 10307.320567, 8283, 187.187130, 2725.296384, 8283, 22.855477, 108.084692, 8283, 10.036650, 5.973909, 8283,1.294,0.435,12.941,0.065,0.054,0.069,0.071,-0.018,0.001,0.001
 40, 2.5, 130, 50, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 3, 2.5, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1229/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1229/gt/, 2019-01-16-13-09-37-radar-oxford-10k, 1229, 7509, 18630.096259, 1396037.115618, 7511, 446.891892, 12393.751061, 7511, 40.565162, 333.277791, 7511, 29.289199, 66.268199, 7511,1.263,0.418,30.246,0.062,0.05,0.058,0.056,-0.015,-0.01,0.002
 40, 2.5, 130, 20, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 5, 2, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1148/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1148/gt/, 2019-01-18-15-20-12-radar-oxford-10k, 1148, 8281, 7968.239406, 10307.320567, 8283, 275.217675, 5391.330983, 8283, 37.963456, 407.473015, 8283, 9.774024, 6.855719, 8283,1.36,0.427,23.007,0.051,0.044,0.059,0.061,-0.019,0.001,0.001
 40, 2.5, 130, 12, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 5, 2.25, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1153/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1153/gt/, 2019-01-18-15-20-12-radar-oxford-10k, 1153, 8281, 4794.731619, 3230.005842, 8283, 188.755282, 2554.088006, 8283, 22.423336, 124.589036, 8283, 6.824049, 3.134783, 8283,1.359,0.429,22.149,0.056,0.047,0.07,0.072,-0.018,0.001,0.002
 40, 2.5, 130, 20, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 4, 2.25, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1484/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1484/gt/, 2019-01-17-13-26-39-radar-oxford-10k, 1484, 8538, 7962.631265, 11309.550568, 8540, 268.082084, 4226.347946, 8540, 20.372832, 60.721178, 8540, 7.366011, 1.136726, 8540,1.303,0.396,20.426,0.052,0.042,0.063,0.059,-0.016,-0.001,0.001
 40, 2.5, 130, 40, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 3, 2.25, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_430/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_430/gt/, 2019-01-18-14-14-42-radar-oxford-10k, 430, 7402, 15260.011345, 556802.483664, 7404, 416.872636, 10834.970407, 7404, 38.339678, 341.140754, 7404, 21.933048, 31.162166, 7404,1.356,0.426,19.529,0.056,0.047,0.058,0.059,-0.016,0.001,0.002
 40, 2.5, 130, 40, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 3, 1.25, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_604/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_604/gt/, 2019-01-18-14-46-59-radar-oxford-10k, 604, 7665, 15193.872571, 607232.996022, 7667, 606.626321, 15162.525161, 7667, 59.560268, 654.166036, 7667, 21.306941, 32.619747, 7667,1.515,0.455,44.084,0.047,0.041,0.056,0.055,-0.019,0.0,0.003
 40, 2.5, 130, 30, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 4, 3.5, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_327/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_327/gt/, 2019-01-10-11-46-21-radar-oxford-10k, 327, 8865, 11655.373407, 143019.132813, 8867, 245.267509, 3827.722056, 8867, 24.214120, 125.581774, 8867, 14.364267, 14.164486, 8867,1.328,0.391,9.378,0.069,0.06,0.064,0.064,-0.015,-0.008,0.001
 40, 2.5, 130, 50, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 5, 1.5, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_347/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_347/gt/, 2019-01-10-11-46-21-radar-oxford-10k, 347, 8865, 18495.170182, 1575110.188812, 8867, 636.592534, 19382.833746, 8867, 89.249732, 1772.070685, 8867, 29.859708, 77.037360, 8867,1.418,0.409,31.679,0.05,0.046,0.052,0.05,-0.019,-0.009,0.002
 40, 2.5, 130, 50, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 4, 1.5, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1073/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1073/gt/, 2019-01-18-15-20-12-radar-oxford-10k, 1073, 8281, 18420.431969, 1754362.370447, 8283, 605.569842, 19574.658740, 8283, 74.352712, 1235.822356, 8283, 29.342638, 66.937393, 8283,1.508,0.444,32.058,0.047,0.041,0.051,0.055,-0.02,0.001,0.002
 40, 2.5, 130, 50, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 3, 1.5, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_611/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_611/gt/, 2019-01-18-14-46-59-radar-oxford-10k, 611, 7665, 18512.919917, 1635900.984326, 7667, 634.411373, 18809.765036, 7667, 61.424876, 726.490258, 7667, 29.415627, 66.698498, 7667,1.685,0.497,53.374,0.05,0.043,0.055,0.056,-0.021,0.0,0.003
 40, 2.5, 130, 40, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 5, 1.5, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_544/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_544/gt/, 2019-01-18-14-14-42-radar-oxford-10k, 544, 7402, 15260.011345, 556802.483664, 7404, 545.036332, 13991.978286, 7404, 78.233978, 1294.715564, 7404, 21.143077, 32.657517, 7404,1.501,0.434,38.256,0.049,0.039,0.054,0.054,-0.023,0.001,0.002
 40, 2.5, 130, 50, /Navtech/Filtered, sensor_est, oxford, /Navtech/Filtered, radar_registered, radar_registered_keyframe, radar_odom, radar_odom_keyframe, false, 4, 3.5, 1, 1.5, 5, true, true, false, false, false, true," ""P2P""", , , /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1517/est/, /home/daniel/rosbag/oxford-eval-sequences/eval/high_kstrong_lowres_2021-07-19_01:13/job_1517/gt/, 2019-01-17-13-26-39-radar-oxford-10k, 1517, 8538, 18634.229040, 1457673.126698, 8540, 338.209953, 7387.478051, 8540, 37.149577, 254.225778, 8540, 29.419854, 63.231676, 8540,1.296,0.412,9.063,0.066,0.06,0.061,0.061,-0.015,-0.001,0.0
